kelurahan,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
pendrikan kidul,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,2,1,0,0,0,0,0,0
pendrikan lor,0,1,3,0,2,0,0,0,4,2,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,2,1,0,2,0,2,3,4,2,1,3,2,2
penggaron kidul,2,1,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,2,0,4,3,0,2,3,2,4,1,0
penggaron lor,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,1,0,1,0,2,0,0,0,1,0,0,1,0,2,1,2,0,2
pesantren,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0
peterongan,2,0,0,0,2,2,1,1,1,0,0,1,0,3,1,2,1,0,0,0,1,1,0,2,2,2,1,0,0,2,1,2,2,1,0,1,2,2,2,1
petompon,1,0,2,0,1,1,0,0,0,0,2,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,2,7,4,1,2,1,2,0,1,0,1,3
plalangan,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0
plamongan sari,1,3,0,1,2,0,1,0,0,4,0,2,0,0,0,3,2,0,2,1,2,1,3,0,5,1,1,1,1,2,4,1,2,1,1,4,4,2,2,0
pleburan,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1
plombokan,1,2,2,0,0,1,1,1,0,2,0,1,1,3,4,1,2,1,0,1,0,1,2,0,4,1,2,2,1,3,3,6,2,2,5,3,2,5,2,1
podorejo,0,1,1,0,0,0,0,0,2,1,0,0,1,1,0,2,0,0,0,1,1,0,0,2,1,1,0,2,0,0,3,0,0,3,1,4,4,0,1,1
polaman,0,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
pudakpayung,1,2,1,1,0,0,0,2,1,0,3,1,3,0,7,0,0,0,2,0,3,1,1,1,5,2,2,3,1,1,1,2,2,7,6,6,3,4,4,2
pungangan,1,2,1,0,0,0,0,1,0,3,1,0,1,1,0,0,0,0,0,3,1,1,0,1,1,1,1,0,0,2,1,1,0,3,2,1,2,1,1,0
purwodinatan,3,2,0,0,0,1,0,1,2,1,2,1,0,0,0,0,1,1,0,2,0,0,2,0,2,4,1,1,1,1,2,0,2,2,3,1,1,2,0,0
purwosari,2,2,2,1,2,3,3,1,1,2,1,3,1,4,0,1,1,2,1,1,2,2,3,6,1,5,2,3,1,5,5,2,6,1,8,3,5,2,1,0
purwoyoso,0,5,3,2,1,0,0,2,2,0,2,1,1,1,1,3,1,3,1,1,2,2,2,2,5,6,5,0,4,2,5,4,5,5,4,6,3,3,5,1
randu garut,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,3,1,0,1,0,2,0,0,1,1,2,3,3,0,0,0
randusari,1,0,1,0,1,1,0,0,1,0,0,1,2,2,3,3,2,1,0,1,3,1,1,1,5,1,3,4,0,1,1,3,0,0,5,3,2,5,3,1
rejomulyo,0,2,1,1,0,0,1,0,0,1,0,0,2,4,0,1,2,0,1,0,0,4,1,1,1,1,0,1,0,0,1,1,2,5,1,1,1,0,1,3
rejosari,4,3,2,3,0,0,1,1,0,2,0,0,1,4,5,1,1,0,0,2,2,5,2,3,6,1,4,2,4,6,2,4,3,4,3,5,2,2,5,1
rowosari,4,0,0,1,1,2,0,0,0,0,1,0,2,0,2,2,2,0,2,1,3,1,4,1,0,1,0,5,4,1,2,5,3,4,1,3,4,2,4,1
