id,nama_kelurahan,puskesmas_id,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
28,kranggan,28,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,2,0,0,0,0,2,2,1,1,1,1
29,gabahan,29,1,2,1,2,0,3,0,0,1,1,1,1,1,2,0,1,1,0,1,2,0,0,3,0,2,1,0,0,0,0,3,0,0,0,2,4,2,0,3,1
30,kauman,28,1,1,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,1,0,2,0,0,1,0,1,0,0,0,1,0,3,1,1,1,0,1,0,0
31,jagalan,29,5,0,2,2,1,1,0,1,1,1,1,0,1,1,1,2,3,1,1,3,0,1,2,0,2,3,0,1,3,2,0,2,1,0,1,5,1,4,0,2
32,bangunharjo,28,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,2,2,0,1,1,1,0,2,2,0
33,kembangsari,28,1,0,1,0,0,1,2,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,2,0,1,1,1,0,0,1,3,0,1,1,0
34,pandansari,28,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,2,1,1,0,1,1,0,0,2,1
35,sekayu,28,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,2,4,1,2,2,0,0
36,miroto,29,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,1,1,2,3,1,2,1,2,2,1,3,0,2,0,2,1,1
37,brumbungan,29,1,0,1,1,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,1,0,0,1,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0
38,pekunden,29,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0
39,karangkidul,29,0,2,0,0,2,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,2,0,2,2,1,3,0,0,1,1,4,2,2,0,1,0,0
40,mlatiharjo,30,1,2,1,0,0,1,1,0,1,1,2,0,2,4,0,0,2,0,0,3,0,1,0,1,2,2,0,1,2,1,2,1,4,1,1,1,1,2,0,1
41,rejomulyo,32,0,2,1,1,0,0,1,0,0,1,0,0,2,4,0,1,2,0,1,0,0,4,1,1,1,1,0,1,0,0,1,1,2,5,1,1,1,0,1,3
42,kemijen,32,7,3,3,3,2,2,2,1,0,3,4,1,6,3,0,1,0,1,2,0,1,3,7,1,6,0,3,5,3,1,0,6,3,16,6,7,1,0,6,3
43,bugangan,30,6,1,3,2,1,0,1,0,2,1,4,2,9,6,3,2,3,4,0,1,1,3,5,2,4,5,3,8,2,1,4,5,3,3,3,3,6,1,3,4
44,kebonagung,30,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,2,2,2,2,1,2,1,1,0,0,0,1,2,2,3,3,3,1,0,2,0
